query,count,average price,categories,eBay
hallmark wedding couple figurine,75,$36.92 ,Home,
harley-davidson,82,$26.77 ,Automobile and Accessories,
hat rack,140,$83.89 ,Home,
hawaiian shirt,128,$34.57 ,Men's Only Clothes and Accessories,
headphones earbuds,149,$32.28 ,Computers and Peripherals,
hello kitty,196,$29.07 ,"Toys, Games, Movies",
high chairs,158,$115.29 ,Home,
high heels shoes,105,$54.29 ,Mobile Devices,
hollister polo,74,$52.51 ,Men's Only Clothes and Accessories,
ice cream maker,109,$68.26 ,Consumer Appliances,
infinity scarf,140,$26.32 ,Shoes,
ipad 2 heavy duty case,105,$19.57 ,Computers and Peripherals,
iphone 4 case,149,$15.44 ,Computers and Peripherals,
iphone 5,155,$104.17 ,Babies,
k cups,149,$23.59 ,Coffee,
keurig coffee maker,162,$83.18 ,Consumer Appliances,
khaki pants,139,$34.96 ,Men's Only Clothes and Accessories,
kitchen faucet,146,$156.82 ,Home,
kitchen rugs,150,$40.73 ,Home,
kitchenaid glass bowl,96,$268.57 ,Home,
kitchenaid mixer,135,$159.39 ,Home,
knife victorinox,143,$58.86 ,Home,
kobo e-reader,60,$56.60 ,Babies,
laptop lenovo,148,$422.29 ,Computers and Peripherals,
lc lauren conrad dresses,93,$205.58 ,Bags,
leather men's briefcase,106,$575.99 ,Accessories,
led christmas lights,115,$91.66 ,Light Source Industry,
LED monitor,100,$247.82 ,Computers and Peripherals,
lego star wars,179,$57.75 ,"Toys, Games, Movies",
legos,151,$41.45 ,"Toys, Games, Movies",
Levis,128,$44.91 ,Men's Only Clothes and Accessories,
levis 505,75,$44.95 ,Men's Only Clothes and Accessories,
light bulb,124,$47.75 ,Light Source Industry,
long prom dress,139,$163.30 ,Bags,
longboard pads,32,$50.63 ,Clothes,
mac book air cover,98,$22.69 ,Computers and Peripherals,
macbook case 13 case,120,$28.08 ,Computers and Peripherals,
martial art headgear,97,$65.61 ,Clothes,
memory foam mattress topper,98,$139.80 ,Home,
memory foam pillow,245,$45.47 ,Home,
men earrings diamond squared,44,$237.26 ,Shoes,
mens dress shirts,151,$70.70 ,Women's Only Clothes and Accessories,
mens leather shirt,107,$243.44 ,Women's Only Clothes and Accessories,
metal lathe,102,$124.82 ,Personal Care,
micro usb to hdmi,179,$78.55 ,Computers and Peripherals,
microwave,163,$158.88 ,Consumer Appliances,
minecraft diamond sword,26,$23.23 ,"Toys, Games, Movies",
multiple phone charger,58,$37.14 ,Computers and Peripherals,
neck pillow,137,$33.01 ,Home,
nike flip flops,100,$18.81 ,Mobile Devices,
nike shoes,146,$71.08 ,Mobile Devices,
Nike Shox,60,$104.88 ,Mobile Devices,
nike womens,116,$74.53 ,Mobile Devices,
ninja turtle socks,40,$10.78 ,Shoes,
notebook paper,197,$10.74 ,Personal Care,
nutri system,77,$40.73 ,Personal Care,
oakley polarized radar,47,$212.70 ,Women's Only Clothes and Accessories,
oakley radar,60,$125.71 ,Women's Only Clothes and Accessories,
outdoor table cover,143,$56.75 ,Other,
over the knee snow boots,36,$129.46 ,Mobile Devices,
patio tables,145,$335.51 ,Other,
patio umbrellas,130,$136.33 ,Other,
pencil skirt,99,$130.06 ,Bags,
Phillips coffee maker,143,$126.05 ,Consumer Appliances,
pittsburgh pirates,142,$42.66 ,Clothes,
plantronics corded headset,132,$68.80 ,Computers and Peripherals,
playstation 4,179,$265.80 ,Computers and Peripherals,
playstation vita system,101,$103.19 ,Babies,
polar heart rate monitor,133,$73.27 ,Consumer Appliances,
polaroid camera,150,$56.69 ,Cameras,
polo bear sweater,16,$98.74 ,Men's Only Clothes and Accessories,
portable hard drive,143,$97.03 ,Computers and Peripherals,
pots and pans set,194,$88.74 ,Home,
Power surge protector,132,$32.22 ,Consumer Appliances,
pressure cooker,192,$85.97 ,Consumer Appliances,
projector,190,$318.94 ,Computers and Peripherals,
PS2 controller USB,125,$101.10 ,Computers and Peripherals,
ps3 memory card,110,$462.79 ,Computers and Peripherals,
ps3 wireless controller,127,$33.11 ,Computers and Peripherals,
punch bowls,116,$183.39 ,Home,
pyrex,114,$22.71 ,Home,
queen comforter sets,147,$142.52 ,Home,
rachel ray cookware,265,$91.92 ,Home,
rain boot,150,$59.13 ,Mobile Devices,
rain jacket,145,$103.99 ,Men's Only Clothes and Accessories,
ray ban sunglasses,128,$125.77 ,Shoes,
Rechargable batteries,130,$23.87 ,Computers and Peripherals,
Refrigirator,98,$429.98 ,Consumer Appliances,
reusable straws,84,$13.59 ,Home,
rice cooker,194,$60.14 ,Consumer Appliances,
road bicycle,182,$282.24 ,Clothes,
robe,123,$68.11 ,Men's Only Clothes and Accessories,
routers,179,$472.98 ,Computers and Peripherals,
rubbermaid turntables,68,$32.01 ,Music,
samsonite,111,$94.88 ,Accessories,
samsung galaxy phone case,183,$15.62 ,Computers and Peripherals,
san francisco 49ers,110,$52.36 ,Clothes,
screen protector samsung,142,$9.11 ,Computers and Peripherals,
Seagate 2TB hard disk,59,$158.00 ,Computers and Peripherals,
seiko monster,67,$226.87 ,Women's Only Clothes and Accessories,
shaver panasonic,173,$66.68 ,Consumer Appliances,
shotgun shell pouch,102,$25.49 ,Personal Care,
silicone toe separators,21,$42.27 ,Other,
silver jeans,111,$181.92 ,Men's Only Clothes and Accessories,
silver necklace,123,$71.81 ,Shoes,
silver ring,99,$932.11 ,Shoes,
Single serve coffee maker,191,$54.86 ,Consumer Appliances,
skechers womens shoes,133,$53.70 ,Mobile Devices,
skeleton poster,80,$46.09 ,Home,
sleeping bags,150,$65.24 ,Personal Care,
small brass bow,35,$60.18 ,Personal Care,
snow boots,102,$63.04 ,Mobile Devices,
soda stream,150,$33.88 ,Consumer Appliances,
solar battery charger,127,$156.05 ,Consumer Appliances,
solar charger,128,$102.10 ,Consumer Appliances,
speck iphone 5 case,149,$19.22 ,Computers and Peripherals,
spiderman,125,$25.77 ,"Toys, Games, Movies",
sports bra,149,$32.60 ,Bags,
steel necklace,195,$25.97 ,Shoes,
stick vacuum,193,$107.89 ,Consumer Appliances,
storage drawers,146,$242.07 ,Home,
storage ottoman,172,$110.85 ,Home,
Sunglasses polarized,149,$65.62 ,Shoes,
sweater dress,142,$51.43 ,Bags,
table clock,150,$101.60 ,Home,
table runner,148,$31.08 ,Home,
tablet accessories,125,$37.91 ,Computers and Peripherals,
teenage mutant ninja turtles,189,$27.75 ,"Toys, Games, Movies",
thomas the train,198,$28.61 ,"Toys, Games, Movies",
three wheeled bike,140,$269.59 ,"Toys, Games, Movies",
toaster oven,158,$76.93 ,Consumer Appliances,
toddler sandals,111,$25.83 ,Mobile Devices,
tote bag,115,$77.31 ,Accessories,
toy trucks,146,$79.90 ,"Toys, Games, Movies",
tupperware water bottle lime,37,$14.38 ,Home,
tv,145,$571.12 ,Consumer Appliances,
Vanilla Scented Perfumes,194,$24.18 ,Fragrances,
vanity fair bras,100,$28.39 ,Bags,
vans backpack,59,$36.70 ,Accessories,
victoria secret pink shorts,39,$12.73 ,Bags,
victoria's secret lace gown,31,$25.12 ,Bags,
videogames ps4,129,$44.41 ,"Toys, Games, Movies",
volcom short,62,$40.28 ,Women's Only Clothes and Accessories,
waffle maker,124,$44.75 ,Consumer Appliances,
wall clocks,183,$53.73 ,Consumer Appliances,
wall mirrors,118,$164.89 ,Home,
Watch women fossil,150,$94.37 ,Bags,
werewolf costume,84,$38.25 ,Men's Only Clothes and Accessories,
white dress,137,$147.47 ,Bags,
white jeans,122,$106.73 ,Men's Only Clothes and Accessories,
white plain dinner set,82,$32.35 ,Home,
wii,203,$63.16 ,Computers and Peripherals,
Wii Gamepad,130,$28.36 ,Computers and Peripherals,
wii microphone,82,$19.66 ,Computers and Peripherals,
wine rack,192,$91.27 ,Home,
Wired Xbox 360 controller,88,$20.29 ,Computers and Peripherals,
wireless mouse,388,$20.89 ,Computers and Peripherals,
workout clothes for women,147,$32.31 ,Bags,
wreck it ralph,173,$23.36 ,"Toys, Games, Movies",
yankee candle,130,$19.63 ,Home,
yankees,139,$50.54 ,Clothes,
yellow dress,145,$74.10 ,Bags,
yoga mat,127,$29.25 ,Home,
yoga pants,140,$30.20 ,Men's Only Clothes and Accessories,
zippo,128,$16.93 ,Personal Care,
zippo hand warmer,106,$16.78 ,Shoes,
